Genesymbol,EnsembleID
Gm15651,ENSMUSG00000089663
Tnfrsf1b,ENSMUSG00000028599
Cldn8,ENSMUSG00000050520
H2afv,ENSMUSG00000041126
Zbtb5,ENSMUSG00000049657
Rassf9,ENSMUSG00000044921
A930037H05Rik,ENSMUSG00000109408
Tmlhe,ENSMUSG00000079834
Map4k3,ENSMUSG00000024242
4933421O10Rik,ENSMUSG00000085037
Lipt2,ENSMUSG00000030725
Krt80,ENSMUSG00000037185
Sgk2,ENSMUSG00000017868
Ptpn21,ENSMUSG00000021009
St3gal4,ENSMUSG00000032038
Tlr4,ENSMUSG00000039005
Klhdc7a,ENSMUSG00000078234
Syde1,ENSMUSG00000032714
Polr3e,ENSMUSG00000030880
Zfp950,ENSMUSG00000074733
Arhgef10l,ENSMUSG00000040964
1700040L02Rik,ENSMUSG00000019945
Rnase4,ENSMUSG00000021876
Antxr2,ENSMUSG00000029338
Echdc2,ENSMUSG00000028601
Trpt1,ENSMUSG00000047656
Gm29683,ENSMUSG00000109097
Kazald1,ENSMUSG00000025213
Naaladl2,ENSMUSG00000102758
Ccdc125,ENSMUSG00000048924
Fam72a,ENSMUSG00000055184
Hexb,ENSMUSG00000021665
Polk,ENSMUSG00000021668
Hsd17b12,ENSMUSG00000027195
Fxyd1,ENSMUSG00000036570
Mcc,ENSMUSG00000071856
Gpr35,ENSMUSG00000026271
Tmem263,ENSMUSG00000060935
Plekhh1,ENSMUSG00000060716
Klhl7,ENSMUSG00000028986
Tinag,ENSMUSG00000032357
Pdgfd,ENSMUSG00000032006
Cep83os,ENSMUSG00000097164
Tacc2,ENSMUSG00000030852
Aes,ENSMUSG00000054452
Rnf208,ENSMUSG00000044628
Cenpw,ENSMUSG00000075266
Cd99l2,ENSMUSG00000035776
Tff3,ENSMUSG00000024029
Grin1,ENSMUSG00000026959
F3,ENSMUSG00000028128
Shh,ENSMUSG00000002633
Acsm1,ENSMUSG00000033533
Gm16124,ENSMUSG00000086914
Gm2000,ENSMUSG00000078193
Ppp1r9a,ENSMUSG00000032827
Bmp7,ENSMUSG00000008999
Trp53bp2,ENSMUSG00000026510
Ppp2r1b,ENSMUSG00000032058
Gle1,ENSMUSG00000019715
Pgm3,ENSMUSG00000056131
Nrep,ENSMUSG00000042834
Dcaf11,ENSMUSG00000022214
Slc12a8,ENSMUSG00000035506
